id,lat,lng,category,source
potential-map2-0097,50.40629,-4.15202,undifferentiated,1940s-map
potential-map2-0098,50.40609,-4.15897,undifferentiated,1940s-map
potential-map2-0099,50.40587,-4.21072,undifferentiated,1940s-map
potential-map2-0100,50.40592,-4.15503,undifferentiated,1940s-map
potential-map2-0101,50.40571,-4.18150,undifferentiated,1940s-map
potential-map2-0102,50.40584,-4.13362,undifferentiated,1940s-map
potential-map2-0103,50.40573,-4.12357,undifferentiated,1940s-map
potential-map2-0104,50.40560,-4.12147,undifferentiated,1940s-map
potential-map2-0105,50.40563,-4.10834,undifferentiated,1940s-map
potential-map2-0106,50.40546,-4.11974,undifferentiated,1940s-map
potential-map2-0107,50.40540,-4.11803,undifferentiated,1940s-map
potential-map2-0108,50.40526,-4.17445,undifferentiated,1940s-map
potential-map2-0109,50.40531,-4.12934,undifferentiated,1940s-map
potential-map2-0110,50.40515,-4.18616,undifferentiated,1940s-map
potential-map2-0111,50.40512,-4.18132,undifferentiated,1940s-map
potential-map2-0112,50.40507,-4.19029,undifferentiated,1940s-map
potential-map2-0113,50.40498,-4.18539,undifferentiated,1940s-map
potential-map2-0114,50.40482,-4.19714,undifferentiated,1940s-map
potential-map2-0115,50.40489,-4.15700,undifferentiated,1940s-map
potential-map2-0116,50.40496,-4.12319,undifferentiated,1940s-map
potential-map2-0117,50.40454,-4.21173,undifferentiated,1940s-map
potential-map2-0118,50.40459,-4.15600,undifferentiated,1940s-map
potential-map2-0119,50.40464,-4.15381,undifferentiated,1940s-map
potential-map2-0120,50.40452,-4.18079,undifferentiated,1940s-map
potential-map2-0121,50.40449,-4.17906,undifferentiated,1940s-map
potential-map2-0122,50.40460,-4.12878,undifferentiated,1940s-map
potential-map2-0123,50.40447,-4.16076,undifferentiated,1940s-map
potential-map2-0124,50.40445,-4.13037,undifferentiated,1940s-map
potential-map2-0125,50.40434,-4.18537,undifferentiated,1940s-map
potential-map2-0126,50.40416,-4.15854,undifferentiated,1940s-map
